day,month,year,time,fluviometry_data
11,09,2016,00:00:00,24.88
12,09,2016,00:00:00,24.64
13,09,2016,00:00:00,24.38
14,09,2016,00:00:00,24.14
15,09,2016,00:00:00,23.88
16,09,2016,00:00:00,23.72
17,09,2016,00:00:00,23.59
18,09,2016,00:00:00,23.42
19,09,2016,00:00:00,23.27
20,09,2016,00:00:00,23.14
21,09,2016,00:00:00,23.02
22,09,2016,00:00:00,22.91
23,09,2016,00:00:00,22.82
24,09,2016,00:00:00,22.75
25,09,2016,00:00:00,22.69
26,09,2016,00:00:00,22.69
27,09,2016,00:00:00,22.69
28,09,2016,00:00:00,22.75
29,09,2016,00:00:00,22.86
30,09,2016,00:00:00,22.95
01,10,2016,00:00:00,23.09
02,10,2016,00:00:00,23.22
03,10,2016,00:00:00,23.35
04,10,2016,00:00:00,23.49
05,10,2016,00:00:00,23.62
06,10,2016,00:00:00,23.70
07,10,2016,00:00:00,23.83
08,10,2016,00:00:00,23.98
09,10,2016,00:00:00,24.08
10,10,2016,00:00:00,24.17
11,10,2016,00:00:00,24.29
12,10,2016,00:00:00,24.39
13,10,2016,00:00:00,24.46
14,10,2016,00:00:00,24.55
15,10,2016,00:00:00,24.62
16,10,2016,00:00:00,24.69
17,10,2016,00:00:00,24.77
18,10,2016,00:00:00,24.85
19,10,2016,00:00:00,24.91
20,10,2016,00:00:00,24.97
21,10,2016,00:00:00,25.04
22,10,2016,00:00:00,25.09
23,10,2016,00:00:00,25.14
24,10,2016,00:00:00,25.17
25,10,2016,00:00:00,25.26
26,10,2016,00:00:00,25.25
27,10,2016,00:00:00,25.23
28,10,2016,00:00:00,25.20
29,10,2016,00:00:00,25.17
30,10,2016,00:00:00,25.15
31,10,2016,00:00:00,25.14
01,11,2016,00:00:00,25.05
02,11,2016,00:00:00,24.99
03,11,2016,00:00:00,24.89
04,11,2016,00:00:00,24.79
05,11,2016,00:00:00,24.66
06,11,2016,00:00:00,24.49
07,11,2016,00:00:00,24.32
08,11,2016,00:00:00,24.16
09,11,2016,00:00:00,24.00
10,11,2016,00:00:00,23.85
11,11,2016,00:00:00,23.75
12,11,2016,00:00:00,23.68
13,11,2016,00:00:00,23.67
14,11,2016,00:00:00,23.69
15,11,2016,00:00:00,23.70
16,11,2016,00:00:00,23.73
17,11,2016,00:00:00,23.77
18,11,2016,00:00:00,23.85
19,11,2016,00:00:00,23.87
20,11,2016,00:00:00,23.90
21,11,2016,00:00:00,23.87
22,11,2016,00:00:00,23.85
23,11,2016,00:00:00,23.81
24,11,2016,00:00:00,23.81
25,11,2016,00:00:00,23.74
26,11,2016,00:00:00,23.69
27,11,2016,00:00:00,23.64
28,11,2016,00:00:00,23.54
29,11,2016,00:00:00,23.41
30,11,2016,00:00:00,23.27
01,12,2016,00:00:00,23.11
02,12,2016,00:00:00,22.96
03,12,2016,00:00:00,22.82
04,12,2016,00:00:00,22.69
05,12,2016,00:00:00,22.61
06,12,2016,00:00:00,22.53
07,12,2016,00:00:00,22.48
08,12,2016,00:00:00,22.47
09,12,2016,00:00:00,22.49
10,12,2016,00:00:00,22.52
11,12,2016,00:00:00,22.62
12,12,2016,00:00:00,22.69
13,12,2016,00:00:00,22.83
14,12,2016,00:00:00,22.99
15,12,2016,00:00:00,23.15
16,12,2016,00:00:00,23.35
17,12,2016,00:00:00,23.51
18,12,2016,00:00:00,23.71
19,12,2016,00:00:00,23.91
20,12,2016,00:00:00,24.11
