,Entropy,Divergency,Complexity
92,0.9999616970025089,5.4057369187378566e-05,5.405529862810221e-05
93,0.999960844238474,5.5270148251666176e-05,5.5267984106921724e-05
94,0.9999599817337298,5.649709171819328e-05,5.649483080253341e-05
95,0.999959109476364,5.7738223930715633e-05,5.77358629845053e-05
96,0.9999582274544384,5.8993569296571394e-05,5.899110498501011e-05
97,0.9999573356559885,6.026315228507176e-05,6.0260581197211454e-05
98,0.9999564340690245,6.154699742828978e-05,6.154431607604807e-05
99,0.9999555226815292,6.284512932125897e-05,6.28423341384278e-05
100,0.9999546014814609,6.415757262355724e-05,6.415465996480707e-05
101,0.9999536704567508,6.548435205627717e-05,6.548131819615643e-05
102,0.9999527295953036,6.682549240642263e-05,6.682233353835254e-05
103,0.9999517788849978,6.818101852349124e-05,6.817773075875605e-05
104,0.9999508183136854,6.955095532200783e-05,6.95475346887403e-05
105,0.999949847869192,7.093532778052985e-05,7.093177022269209e-05
106,0.9999488675393167,7.233416094283321e-05,7.233046231919274e-05
107,0.999947877311831,7.37474799165492e-05,7.374363599965027e-05
108,0.99994687717448,7.51753098759695e-05,7.517131635109955e-05
109,0.9999458671149823,7.661767605970463e-05,7.661352852385617e-05
110,0.9999448471210289,7.807460377175283e-05,7.807029773258029e-05
111,0.9999438171802835,7.954611838326847e-05,7.954164925804018e-05
112,0.9999427772803832,8.103224533017614e-05,8.10276084447217e-05
113,0.9999417274089374,8.253301011563327e-05,8.252820070328564e-05
114,0.9999406675535283,8.404843830857663e-05,8.404345150910965e-05
115,0.9999395977017103,8.55785555458578e-05,8.557338640441851e-05
116,0.9999385178410108,8.7123387529853e-05,8.711803099588922e-05
117,0.9999374279589286,8.868296003186667e-05,8.867741095804923e-05
118,0.999936328042936,9.025729888962152e-05,9.025155203076191e-05
119,0.999935218080476,9.18464300083298e-05,9.184048002029242e-05
120,0.9999340980589645,9.345037936319301e-05,9.344422080180247e-05
121,0.9999329679657895,9.506917299555989e-05,9.506280031550329e-05
122,0.9999318277883105,9.670283701609823e-05,9.66962445698222e-05
123,0.9999306775138587,9.835139760381122e-05,9.834457964041385e-05
124,0.999929517129737,0.00010001488100820466,0.00010000783167232219
125,0.99992834662322,0.00010169331354647568,0.00010168602687716414
126,0.9999271659815538,0.00010338672160581497,0.00010337919153542644
127,0.9999259751919558,0.00010509513164313522,0.00010508735199618896
128,0.9999247742416145,0.00010681857018614711,0.00010681053467819521
129,0.99992356311769,0.00010855706383122364,0.00010854876606771166
130,0.9999223418073129,0.00011031063924740624,0.00011030207272252812
131,0.9999211102975853,0.0001120793231722704,0.0001120704812678185
132,0.9999198685755801,0.00011386314241637346,0.0001138540184005827
133,0.9999186166283406,0.00011566212386044233,0.00011565271088682928
134,0.9999173544428813,0.0001174762944573499,0.00011746658556354624
135,0.9999160820061868,0.00011930568123103076,0.00011929566933761133
136,0.9999147993052128,0.00012115031127926085,0.00012113998918856616
137,0.9999135063268844,0.00012301021177027425,0.00012299957216522752
138,0.9999122030580979,0.00012488540994593067,0.00012487444538884923
139,0.9999108894857196,0.00012677593312084237,0.00012676463605224358
140,0.9999095655965857,0.00012868180868259388,0.0001286701714199954
141,0.9999082313775021,0.00013060306409306568,0.00013059107882977986
142,0.9999068868152451,0.0001325397268865027,0.00013252738569042574
143,0.9999055318965603,0.00013449182467216122,0.0001344791194845563
144,0.9999041666081634,0.00013645938513311736,0.0001364463077673921
145,0.9999027909367391,0.00013844243602751738,0.0001384289781679956
146,0.9999014048689423,0.00014044100518801462,0.00014042715838870223
147,0.9999000083913965,0.00014245512052201938,0.00014244087620536458
148,0.9998986014906948,0.00014448481001273558,0.00014447015946838303
149,0.9998971841533998,0.00014653010171910186,0.0001465150361026412
150,0.9998957563660416,0.0001485910237762203,0.00014857553410792826
151,0.9998943181151215,0.00015066760439451116,0.00015065168155808863
152,0.9998928693871075,0.00015275987186173548,0.00015274350660303757
153,0.9998914101684376,0.00015486785454202727,0.00015485103746778813
154,0.999889940445518,0.000156991580877616,0.00015697430245416717
155,0.9998884602047231,0.00015913107938648,0.00015911332993846303
156,0.9998869694323963,0.00016128637866548364,0.00016126814837455632
157,0.9998854681148484,0.00016345750738931558,0.0001634387862928521
158,0.9998839562383586,0.00016564449431039785,0.00016562527230018286
159,0.9998824337891749,0.00016784736826016492,0.00016782763508108161
160,0.9998809007535122,0.000170066158149516,0.0001700459033982273
161,0.9998793571175539,0.00017230089296640174,0.00017228010609002625
162,0.9998778028674504,0.00017455160178089923,0.00017453027207567966
163,0.9998762379893205,0.00017681831374112756,0.000176796430351094
164,0.9998746624692497,0.00017910105807565917,0.0001790786099912852
165,0.9998730762932914,0.000181399864093432,0.00018137684015028484
166,0.9998714794474657,0.00018371476118456365,0.0001836911500619475
167,0.9998698719177602,0.00018604577881958052,0.00018602156903917394
168,0.9998682536901291,0.00018839294654998212,0.00018836812647446847
169,0.9998666247504944,0.00019075629400988113,0.0001907308518415728
170,0.9998649850847435,0.00019313585091456723,0.000193109774694023
171,0.9998633346787317,0.00019553164706178074,0.0001955049246664169
172,0.9998616735182799,0.0001979437123319209,0.0001979163314746154
173,0.9998600015891757,0.00020037207668775777,0.0002003440249154479
174,0.999858318877173,0.00020281677017547364,0.00020278803486774703
175,0.9998566253679921,0.00020527782292566052,0.00020524839129333917
176,0.999854921047319,0.00020775526515102248,0.0002077251242347404
177,0.9998532059008055,0.00021024912714984233,0.00021021826381861593
